ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
14209-0219-1.zip,202202141354,相模原市,地区外-81597,,
14209-0219-2.zip,202202141354,相模原市,地区外-148342,,
14209-0219-3.zip,202202141354,相模原市,地区外-356538,,
14209-0219-3.zip,202202141354,相模原市,地区外-356539,,
14209-0219-3.zip,202202141354,相模原市,地区外-356540,,
14209-0219-4.zip,202202141354,相模原市,地区外-379515,,
14209-0219-5.zip,202202141354,相模原市,地区外-382581,,
14209-0219-6.zip,202202141354,相模原市,道-837,,
14209-0219-6.zip,202202141354,相模原市,道-841,,
14209-0219-6.zip,202202141354,相模原市,水-823,,
14209-0219-6.zip,202202141354,相模原市,長狭物不明-727,,
14209-0219-6.zip,202202141354,相模原市,長狭物不明-730,,
14209-0219-6.zip,202202141354,相模原市,長狭物不明-733,,
14209-0219-6.zip,202202141354,相模原市,長狭物不明-734,,
14209-0219-6.zip,202202141354,相模原市,長狭物不明-735,,
14209-0219-6.zip,202202141354,相模原市,長狭物不明-736,,
14209-0219-6.zip,202202141354,相模原市,長狭物不明-737,,
14209-0219-6.zip,202202141354,相模原市,長狭物不明-738,,
14209-0219-6.zip,202202141354,相模原市,長狭物不明-740,,
14209-0219-6.zip,202202141354,相模原市,長狭物不明-741,,
14209-0219-6.zip,202202141354,相模原市,長狭物不明-742,,
14209-0219-7.zip,202202141354,相模原市,地区外-517583,,
14209-0219-7.zip,202202141354,相模原市,地区外-517584,,
14209-0219-7.zip,202202141354,相模原市,地区外-517585,,
14209-0219-7.zip,202202141354,相模原市,地区外-517586,,
14209-0219-8.zip,202202141354,相模原市相模湖町千木良,水-1,,
14209-0219-8.zip,202202141354,相模原市相模湖町千木良,水-3,,
14209-0219-9.zip,202202141354,相模原市,地区外-659774,,
14209-0219-9.zip,202202141354,相模原市,地区外-659772,,
14209-0219-9.zip,202202141354,相模原市,地区外-659773,,
14209-0219-10.zip,202202141354,相模原市,地区外-668818,,
14209-0219-10.zip,202202141354,相模原市,地区外-668819,,
14209-0219-10.zip,202202141354,相模原市,地区外-668820,,
14209-0219-11.zip,202202141354,相模原市,地区外-675543,,
14209-0219-12.zip,202202141354,相模原市,地区外-869915,,
14209-0219-12.zip,202202141354,相模原市,地区外-869916,,
14209-0219-13.zip,202202141354,相模原市,地区外-908505,,
14209-0219-13.zip,202202141354,相模原市,地区外-908506,,
14209-0219-13.zip,202202141354,相模原市,地区外-908507,,
14209-0219-13.zip,202202141354,相模原市,地区外-908508,,
14209-0219-13.zip,202202141354,相模原市,地区外-908509,,
14209-0219-13.zip,202202141354,相模原市,地区外-908510,,
14209-0219-13.zip,202202141354,相模原市,地区外-908511,,
14209-0219-13.zip,202202141354,相模原市,地区外-908512,,
14209-0219-13.zip,202202141354,相模原市,地区外-908514,,
14209-0219-13.zip,202202141354,相模原市,地区外-908515,,
14209-0219-13.zip,202202141354,相模原市,地区外-908516,,
14209-0219-13.zip,202202141354,相模原市,地区外-908517,,
14209-0219-13.zip,202202141354,相模原市,地区外-908513,,
14209-0219-14.zip,202202141354,相模原市文京１丁目,筆界未定地-6093796,相模原市文京１丁目,772-2
14209-0219-15.zip,202202141354,相模原市藤野町名倉,筆界未定地-6810224,相模原市藤野町名倉,1651
14209-0219-15.zip,202202141354,相模原市藤野町名倉,筆界未定地-6810224,相模原市藤野町名倉,1650
14209-0219-15.zip,202202141354,相模原市藤野町名倉,筆界未定地-6810224,相模原市藤野町名倉,1649
14209-0219-15.zip,202202141354,相模原市藤野町名倉,筆界未定地-6810224,相模原市藤野町名倉,1657
14209-0219-15.zip,202202141354,相模原市藤野町名倉,筆界未定地-6813519,相模原市藤野町名倉,1334
14209-0219-16.zip,202202141354,相模原市,地区外-1161026,,
14209-0219-16.zip,202202141354,相模原市,地区外-1161027,,
14209-0219-16.zip,202202141354,相模原市,地区外-1161028,,
14209-0219-16.zip,202202141354,相模原市,地区外-1161029,,
14209-0219-16.zip,202202141354,相模原市,地区外-1161030,,
14209-0219-16.zip,202202141354,相模原市,地区外-1161031,,
14209-0219-16.zip,202202141354,相模原市,地区外-1161032,,
14209-0219-16.zip,202202141354,相模原市,地区外-1161033,,
14209-0219-16.zip,202202141354,相模原市,地区外-1161034,,
